Date,BRK-A,CL=F,GC=F,KE=F,NG=F,SQM,TSLA,ZF=F,ZR=F
2016-06-30,216975.0,48.33000183105469,1318.4000244140625,404.25,2.9240000247955322,17.02627944946289,14.152000427246094,122.40625,1050.5
2016-07-01,216298.0,48.9900016784668,1336.699951171875,394.25,2.986999988555908,17.411991119384766,14.433333396911621,122.140625,1036.5
2016-07-05,212960.0,46.599998474121094,1356.4000244140625,402.0,2.7639999389648438,17.673715591430664,14.26533317565918,122.484375,1028.5
2016-07-06,213620.0,47.43000030517578,1364.9000244140625,400.5,2.7860000133514404,17.38443374633789,14.295999526977539,122.3515625,1056.5
2016-07-07,212501.0,45.13999938964844,1360.0999755859375,396.5,2.7769999504089355,17.549739837646484,14.395999908447266,122.3671875,1097.0
2016-07-08,214720.0,45.40999984741211,1356.5999755859375,405.25,2.8010001182556152,17.591068267822266,14.45199966430664,122.3984375,1069.0
2016-07-11,215824.0,44.7599983215332,1355.0,401.0,2.7019999027252197,17.63239097595215,14.985333442687988,122.03125,1075.0
2016-07-12,217050.0,46.79999923706055,1334.0999755859375,407.75,2.7339999675750732,18.0456485748291,14.976667404174805,121.7421875,1073.5
2016-07-13,218950.0,44.75,1342.4000244140625,407.75,2.736999988555908,17.535964965820312,14.835332870483398,121.859375,1048.5
2016-07-14,218591.0,45.68000030517578,1331.300048828125,406.0,2.7269999980926514,17.715042114257812,14.768667221069336,121.671875,1037.5
2016-07-15,218990.0,45.95000076293945,1326.5,413.75,2.75600004196167,17.64616584777832,14.69333267211914,121.3671875,1052.0
2016-07-18,219900.0,45.2400016784668,1328.4000244140625,420.0,2.7219998836517334,17.391326904296875,15.083333015441895,121.46875,1076.0
2016-07-19,220265.0,44.650001525878906,1331.5,410.5,2.7279999256134033,17.074493408203125,15.017333030700684,121.53125,1078.5
2016-07-20,219187.0,44.939998626708984,1318.800048828125,406.75,2.6579999923706055,17.260456085205078,15.223999977111816,121.3828125,1081.0
2016-07-21,216315.0,44.75,1330.5,407.5,2.691999912261963,17.04005241394043,14.699999809265137,121.5859375,1061.0
2016-07-22,216805.0,44.189998626708984,1323.0999755859375,419.0,2.7769999504089355,17.170915603637695,14.817999839782715,121.4921875,1040.5
2016-07-25,216005.0,43.130001068115234,1319.300048828125,423.25,2.746999979019165,17.12959098815918,15.333999633789062,121.3984375,1036.0
2016-07-26,216400.0,42.91999816894531,1320.699951171875,412.0,2.7119998931884766,17.005617141723633,15.300666809082031,121.421875,1002.5
2016-07-27,216300.0,41.91999816894531,1326.5999755859375,412.5,2.671999931335449,17.10204315185547,15.232666969299316,121.6875,982.5
2016-07-28,216660.0,41.13999938964844,1332.300048828125,409.0,2.872999906539917,17.177810668945312,15.37399959564209,121.703125,977.0
2016-07-29,216000.0,41.599998474121094,1349.0,409.75,2.875999927520752,17.06760597229004,15.652667045593262,122.015625,994.0
2016-08-01,215960.0,40.060001373291016,1351.4000244140625,409.25,2.7709999084472656,16.922964096069336,15.333999633789062,121.9375,968.5
2016-08-02,214900.0,39.5099983215332,1364.4000244140625,406.5,2.7330000400543213,16.8747501373291,15.146666526794434,121.84375,956.5
2016-08-03,215300.0,40.83000183105469,1356.0999755859375,412.25,2.8389999866485596,16.833423614501953,15.052666664123535,121.875,954.5
2016-08-04,214830.0,41.93000030517578,1358.800048828125,405.75,2.8340001106262207,16.867862701416016,15.37399959564209,122.0703125,932.5
2016-08-05,218010.0,41.79999923706055,1336.4000244140625,411.75,2.7720000743865967,16.85408592224121,15.335332870483398,121.53125,930.5
2016-08-08,218300.0,43.02000045776367,1333.4000244140625,409.75,2.747999906539917,16.895414352416992,15.077333450317383,121.5,966.0
2016-08-09,220605.0,42.77000045776367,1339.0,410.0,2.615000009536743,16.902301788330078,15.272000312805176,121.640625,970.0
2016-08-10,220000.0,41.709999084472656,1344.300048828125,411.75,2.561000108718872,16.909191131591797,15.043333053588867,121.84375,952.0
2016-08-11,221890.0,43.4900016784668,1342.5,412.25,2.5510001182556152,16.943626403808594,14.994000434875488,121.4296875,931.5
2016-08-12,221750.0,44.4900016784668,1335.800048828125,416.25,2.5859999656677246,16.888525009155273,15.040666580200195,121.6953125,965.5
